cbsa,metarea,msacmsa,pmsa,msaname,cbsaname
10180,4,40,,"Abilene, TX","Abilene, TX"
10420,8,80,80,"Akron, OH (P)","Akron, OH"
10500,12,120,,"Albany, GA","Albany, GA"
10580,16,160,,"Albany-Schenectady-Troy, NY","Albany-Schenectady-Troy, NY"
11220,16,160,,"Albany-Schenectady-Troy, NY","Amsterdam, NY"
10740,20,200,,"Albuquerque, NM","Albuquerque, NM"
10780,22,220,,"Alexandria, LA","Alexandria, LA"
10900,24,240,,"Allentown-Bethlehem-Easton, PA","Allentown-Bethlehem-Easton, PA-NJ"
11020,28,280,,"Altoona, PA","Altoona, PA"
11100,32,320,,"Amarillo, TX","Amarillo, TX"
11260,38,380,,"Anchorage, AK","Anchorage, AK"
10300,44,440,440,"Ann Arbor, MI (P)","Adrian, MI"
11460,44,440,440,"Ann Arbor, MI (P)","Ann Arbor, MI"
19820,44,440,440,"Ann Arbor, MI (P)","Detroit-Warren-Dearborn, MI"
11500,45,450,,"Anniston, AL","Anniston-Oxford-Jacksonville, AL"
11540,46,460,,"Appleton-Oshkosh-Neenah, WI","Appleton, WI"
36780,46,460,,"Appleton-Oshkosh-Neenah, WI","Oshkosh-Neenah, WI"
11700,48,480,,"Asheville, NC","Asheville, NC"
12020,50,500,,"Athens, GA","Athens-Clarke County, GA"
12060,52,520,,"Atlanta, GA","Atlanta-Sandy Springs-Roswell, GA"
12100,56,560,560,"Atlantic-Cape May, NJ (P)","Atlantic City-Hammonton, NJ"
36140,56,560,560,"Atlantic-Cape May, NJ (P)","Ocean City, NJ"
12220,58,580,,"Auburn-Opelika, AL","Auburn-Opelika, AL"
12260,60,600,,"Augusta-Aiken, GA-SC","Augusta-Richmond County, GA-SC"
12420,64,640,,"Austin-San Marcos, TX","Austin-Round Rock, TX"
12540,68,680,,"Bakersfield, CA","Bakersfield, CA"
12580,72,720,720,"Baltimore, MD (P)","Baltimore-Columbia-Towson, MD"
12620,73,730,,"Bangor, ME","Bangor, ME"
,73,730,,"Bangor, ME",""
12700,74,740,,"Barnstable-Yarmouth, MA","Barnstable Town, MA"
12940,76,760,,"Baton Rouge, LA","Baton Rouge, LA"
13140,84,840,,"Beaumont-Port Arthur, TX","Beaumont-Port Arthur, TX"
13380,86,860,,"Bellingham, WA","Bellingham, WA"
35660,87,870,,"Benton Harbor, MI","Niles-Benton Harbor, MI"
13740,88,880,,"Billings, MT","Billings, MT"
25060,92,920,,"Biloxi-Gulfport-Pascagoula, MS","Gulfport-Biloxi-Pascagoula, MS"
37700,92,920,,"Biloxi-Gulfport-Pascagoula, MS","37700"
13780,96,960,,"Binghamton, NY","Binghamton, NY"
13820,100,1000,,"Birmingham, AL","Birmingham-Hoover, AL"
13900,101,1010,,"Bismarck, ND","Bismarck, ND"
14020,102,1020,,"Bloomington, IN","Bloomington, IN"
14060,104,1040,,"Bloomington-Normal, IL","14060"
14260,108,1080,,"Boise City, ID","Boise City, ID"
14460,112,1120,4160,"Boston-Worcester-Lawrence, MA-NH-ME-CT (C)","Boston-Cambridge-Newton, MA-NH"
14460,112,1120,4560,"Boston-Worcester-Lawrence, MA-NH-ME-CT (C)","Boston-Cambridge-Newton, MA-NH"
14460,112,1120,1120,"Boston-Worcester-Lawrence, MA-NH-ME-CT (C)","Boston-Cambridge-Newton, MA-NH"
31700,112,1120,4560,"Boston-Worcester-Lawrence, MA-NH-ME-CT (C)","Manchester-Nashua, NH"
39300,112,1120,1120,"Boston-Worcester-Lawrence, MA-NH-ME-CT (C)","Providence-Warwick, RI-MA"
49340,112,1120,1120,"Boston-Worcester-Lawrence, MA-NH-ME-CT (C)","Worcester, MA-CT"
14740,115,1150,1150,"Bremerton, WA (P)","Bremerton-Silverdale, WA"
14860,116,1160,1160,"Bridgeport, CT (P)","Bridgeport-Stamford-Norwalk, CT"
35300,116,1160,1160,"Bridgeport, CT (P)","New Haven-Milford, CT"
14460,120,1200,1200,"Boston-Worcester-Lawrence, MA-NH-ME-CT (C)","Boston-Cambridge-Newton, MA-NH"
39300,120,1200,1200,"Boston-Worcester-Lawrence, MA-NH-ME-CT (C)","Providence-Warwick, RI-MA"
15180,124,1240,,"Brownsville-Harlingen-San Benito, TX","Brownsville-Harlingen, TX"
17780,126,1260,,"Bryan-College Station, TX","College Station-Bryan, TX"
15380,128,1280,,"Buffalo-Niagara Falls, NY","Buffalo-Cheektowaga-Niagara Falls, NY"
15540,131,1310,,"Burlington, VT","Burlington-South Burlington, VT"
15940,132,1320,,"Canton-Massillon, OH","Canton-Massillon, OH"
16220,135,1350,,"Casper, WY","Casper, WY"
16300,136,1360,,"Cedar Rapids, IA","Cedar Rapids, IA"
16580,140,1400,,"Champaign-Urbana, IL","Champaign-Urbana, IL"
16700,144,1440,,"Charleston-North Charleston, SC","Charleston-North Charleston, SC"
16620,148,1480,,"Charleston, WV","Charleston, WV"
16740,152,1520,,"Charlotte-Gastonia-Rock Hill, NC-SC","Charlotte-Concord-Gastonia, NC-SC"
30740,152,1520,,"Charlotte-Gastonia-Rock Hill, NC-SC","30740"
41580,152,1520,,"Charlotte-Gastonia-Rock Hill, NC-SC","41580"
16820,154,1540,,"Charlottesville, VA","Charlottesville, VA"
16860,156,1560,,"Chattanooga, TN-GA","Chattanooga, TN-GA"
16940,158,1580,,"Cheyenne, WY","Cheyenne, WY"
16980,160,1602,1600,"Chicago-Gary-Kenosha, IL-IN-WI (C)","Chicago-Naperville-Elgin, IL-IN-WI"
17020,162,1620,,"Chico-Paradise, CA","Chico, CA"
17140,164,1642,1640,"Cincinnati-Hamilton, OH-KY-IN (C)","Cincinnati, OH-KY-IN"
17300,166,1660,,"Clarksville-Hopkinsville, TN-KY","Clarksville, TN-KY"
11780,168,1680,1680,"Cleveland-Akron, OH (C)","Ashtabula, OH"
17460,168,1680,1680,"Cleveland-Akron, OH (C)","Cleveland-Elyria, OH"
17820,172,1720,,"Colorado Springs, CO","Colorado Springs, CO"
17860,174,1740,,"Columbia, MO","Columbia, MO"
17900,176,1760,,"Columbia, SC","Columbia, SC"
17980,180,1800,,"Columbus, GA-AL","Columbus, GA-AL"
18140,184,1840,,"Columbus, OH","Columbus, OH"
18580,188,1880,,"Corpus Christi, TX","Corpus Christi, TX"
18700,189,1890,,"Corvallis, OR","Corvallis, OR"
19060,190,1900,,"Cumberland, MD-WV","Cumberland, MD-WV"
11980,192,1922,1920,"Dallas-Fort Worth, TX (C)","Athens, TX"
19100,192,1922,2800,"Dallas-Fort Worth, TX (C)","Dallas-Fort Worth-Arlington, TX"
19100,192,1922,1920,"Dallas-Fort Worth, TX (C)","Dallas-Fort Worth-Arlington, TX"
24180,192,1922,2800,"Dallas-Fort Worth, TX (C)","24180"
14860,193,1930,1930,"Danbury, CT (P)","Bridgeport-Stamford-Norwalk, CT"
45860,193,1930,1930,"Danbury, CT (P)","Torrington, CT"
19260,195,1950,,"Danville, VA","Danville, VA"
19340,196,1960,,"Davenport-Moline-Rock Island, IA-IL","Davenport-Moline-Rock Island, IA-IL"
19380,200,2000,,"Dayton-Springfield, OH","Dayton, OH"
44220,200,2000,,"Dayton-Springfield, OH","Springfield, OH"
19660,202,2020,,"Daytona Beach, FL","Deltona-Daytona Beach-Ormond Beach, FL"
37380,202,2020,,"Daytona Beach, FL","37380"
19460,203,2030,,"Decatur, AL","Decatur, AL"
19500,204,2040,,"Decatur, IL","Decatur, IL"
14500,208,2082,1125,"Denver-Boulder-Greeley, CO (C)","Boulder, CO"
19740,208,2082,2080,"Denver-Boulder-Greeley, CO (C)","Denver-Aurora-Lakewood, CO"
19740,208,2082,1125,"Denver-Boulder-Greeley, CO (C)","Denver-Aurora-Lakewood, CO"
19780,212,2120,,"Des Moines, IA","Des Moines-West Des Moines, IA"
19820,216,2162,2160,"Detroit-Ann Arbor-Flint, MI (C)","Detroit-Warren-Dearborn, MI"
